,gammas,conv_iters,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,1,4.188718998076368,0.0003190040588378906,0.0004899501800537109,1,"(0, 1, 1, 0)","(0.04532863258625033, 1.0022664316293126, 1.0022664316293126, 4.188718998076368)","[{'State': None, 'Action': None, 'Reward': 4.188718998076368, 'Error': 6.938893903907228e-18, 'Time': 0.0003190040588378906, 'Max V': 4.188718998076368, 'Mean V': 1.5596451234803108}]"
1,0.1,1,4.396612561750176,0.00030684471130371094,0.00046825408935546875,1,"(0, 1, 1, 0)","(0.09174311926605505, 1.0091743119266054, 1.0091743119266054, 4.396612561750176)","[{'State': None, 'Action': None, 'Reward': 4.396612561750176, 'Error': 0.0, 'Time': 0.00030684471130371094, 'Max V': 4.396612561750176, 'Mean V': 1.6266760762173607}]"
2,0.15000000000000002,1,4.626704033960099,0.0003120899200439453,0.00047969818115234375,1,"(0, 1, 1, 0)","(0.13993262503239184, 1.0209898937548587, 1.0209898937548587, 4.626704033960099)","[{'State': None, 'Action': None, 'Reward': 4.626704033960099, 'Error': 2.7755575615628914e-17, 'Time': 0.0003120899200439453, 'Max V': 4.626704033960099, 'Mean V': 1.702154111625552}]"
3,0.2,1,4.882699462587847,0.00031065940856933594,0.00047707557678222656,1,"(0, 1, 1, 0)","(0.1906779661016949, 1.0381355932203389, 1.0381355932203389, 4.882699462587847)","[{'State': None, 'Action': None, 'Reward': 4.882699462587847, 'Error': 8.881784197001252e-16, 'Time': 0.00031065940856933594, 'Max V': 4.882699462587847, 'Mean V': 1.787412153782555}]"
4,0.25,2,5.16919025674786,0.0009276866912841797,0.0007894039154052734,2,"(0, 1, 0, 0)","(0.24489795918367352, 1.0612244897959184, 1.1691902567478603, 5.16919025674786)","[{'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 0.10796576695194204, 'Time': 0.0003046989440917969, 'Max V': 5.16919025674786, 'Mean V': 1.8841342988808425}, {'State': None, 'Action': None, 'Reward': 5.16919025674786, 'Error': 8.881784197001252e-16, 'Time': 0.0006229877471923828, 'Max V': 5.16919025674786, 'Mean V': 1.911125740618828}]"
5,0.3,2,5.491933371342282,0.0009074211120605469,0.0007696151733398438,2,"(0, 1, 0, 0)","(0.3037120359955006, 1.09111361079865, 1.491933371342281, 5.491933371342282)","[{'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 0.400819760543631, 'Time': 0.00029730796813964844, 'Max V': 5.491933371342282, 'Mean V': 1.9944681572337706}, {'State': None, 'Action': None, 'Reward': 5.491933371342282, 'Error': 8.881784197001252e-16, 'Time': 0.0006101131439208984, 'Max V': 5.491933371342282, 'Mean V': 2.0946730973696783}]"
6,0.35000000000000003,2,5.858245997570469,0.0009274482727050781,0.0007812976837158203,2,"(0, 1, 0, 0)","(0.36852880959344847, 1.1289850833577069, 1.8582459975704688, 5.858245997570469)","[{'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 0.7292609142127617, 'Time': 0.0003058910369873047, 'Max V': 5.858245997570469, 'Mean V': 2.121186243469833}, {'State': None, 'Action': None, 'Reward': 5.858245997570469, 'Error': 2.220446049250313e-16, 'Time': 0.0006215572357177734, 'Max V': 5.858245997570469, 'Mean V': 2.303501472023023}]"
7,0.4,2,6.277573529411765,0.0009202957153320312,0.0007796287536621094,2,"(0, 1, 0, 0)","(0.44117647058823534, 1.1764705882352942, 2.2775735294117654, 6.277573529411765)","[{'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 1.1011029411764708, 'Time': 0.00030112266540527344, 'Max V': 6.277573529411765, 'Mean V': 2.267922794117647}, {'State': None, 'Action': None, 'Reward': 6.277573529411765, 'Error': 8.881784197001252e-16, 'Time': 0.0006191730499267578, 'Max V': 6.277573529411765, 'Mean V': 2.543198529411765}]"
8,0.45,2,6.762327059584753,0.0009229183197021484,0.0007796287536621094,2,"(0, 1, 0, 0)","(0.5241022322872857, 1.2358460045292785, 2.762327059584753, 6.762327059584753)","[{'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 1.5264810550554746, 'Time': 0.00030350685119628906, 'Max V': 6.762327059584753, 'Mean V': 2.4395303252326492}, {'State': None, 'Action': None, 'Reward': 6.762327059584753, 'Error': 0.0, 'Time': 0.0006194114685058594, 'Max V': 6.762327059584753, 'Mean V': 2.8211505889965176}]"
9,0.5,3,7.3389999999999995,0.0020508766174316406,0.0011734962463378906,3,"(0, 0, 0, 0)","(0.7289999999999999, 1.5389999999999997, 3.3389999999999995, 7.3389999999999995)","[{'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 2.0188087774294665, 'Time': 0.00035262107849121094, 'Max V': 7.329153605015673, 'Mean V': 2.642633228840125}, {'State': None, 'Action': None, 'Reward': 7.329153605015673, 'Error': 0.21880877742946692, 'Time': 0.0006935596466064453, 'Max V': 7.329153605015673, 'Mean V': 3.1473354231974917}, {'State': None, 'Action': None, 'Reward': 7.3389999999999995, 'Error': 2.220446049250313e-16, 'Time': 0.0010046958923339844, 'Max V': 7.3389999999999995, 'Mean V': 3.2364999999999995}]"
