,gammas,time,iters,avg_score,policy,converge,v_map
0,0.05,0.2750813961029053,12,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.05 1.   0.  ]
1,0.1,0.33623790740966797,14,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.1 1.  0. ]
2,0.15000000000000002,0.4260411262512207,17,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.15 1.   0.  ]
3,0.2,0.5055820941925049,19,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.2 1.  0. ]
4,0.25,0.6906673908233643,22,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.25 1.   0.  ]
5,0.3,0.8799629211425781,24,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.3 1.  0. ]
6,0.35000000000000003,1.0036189556121826,27,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.35 1.   0.  ]
7,0.4,1.3778915405273438,32,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.4 1.  0. ]
8,0.45,1.5976550579071045,36,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.45 1.   0.  ]
9,0.5,2.1607749462127686,42,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.5 1.  0. ]
10,0.55,2.848196029663086,48,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.55 1.   0.  ]
11,0.6000000000000001,3.7223782539367676,54,0.0,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.6 1.  0. ]
12,0.6500000000000001,4.697502613067627,61,0.0,[0. 0. 1. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.65 1.   0.  ]
13,0.7000000000000001,4.9259490966796875,63,3.5561530251773834e-10,[2. 1. 1. ... 2. 2. 0.],True,"[3.55615303e-10 5.08021861e-10 7.25745515e-10 ... 7.00000000e-01
 1.00000000e+00 0.00000000e+00]"
14,0.7500000000000001,4.855727672576904,63,2.391867219711867e-08,[2. 1. 1. ... 2. 2. 0.],True,"[2.39186722e-08 3.18915629e-08 4.25220839e-08 ... 7.50000000e-01
 1.00000000e+00 0.00000000e+00]"
15,0.8,4.894869089126587,63,1.2259964326927152e-06,[2. 1. 1. ... 2. 2. 0.],True,"[1.22599643e-06 1.53249554e-06 1.91561943e-06 ... 8.00000000e-01
 1.00000000e+00 0.00000000e+00]"
16,0.8500000000000001,4.830847501754761,63,4.9494218194451376e-05,[2. 1. 1. ... 2. 2. 0.],True,"[4.94942182e-05 5.82284920e-05 6.85041082e-05 ... 8.50000000e-01
 1.00000000e+00 0.00000000e+00]"
17,0.9000000000000001,4.854131460189819,63,0.0016173092699230023,[2. 1. 1. ... 2. 2. 0.],True,[0.00161731 0.00179701 0.00199668 ... 0.9        1.         0.        ]
