,gammas,time,iters,policy,converge,v_map
0,0.05,0.5488307476043701,16,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.00574872 0.33917467 0.        ]
1,0.1,0.715219259262085,21,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.011918   0.34562212 0.        ]
2,0.15000000000000002,0.8472282886505127,25,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.01856493 0.35273369 0.        ]
3,0.2,0.9750134944915771,29,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.02575549 0.36057692 0.        ]
4,0.25,1.0999929904937744,33,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.03356643 0.36923077 0.        ]
5,0.3,1.2542994022369385,38,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.04208754 0.37878788 0.        ]
6,0.35000000000000003,1.4441518783569336,43,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.05142458 0.38935756 0.        ]
7,0.4,1.6218998432159424,49,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.061703   0.40106952 0.        ]
8,0.45,1.868145227432251,56,[0. 0. 0. ... 1. 2. 0.],True,[0.         0.         0.         ... 0.07307271 0.41407867 0.        ]
9,0.5,2.1433870792388916,64,[3. 2. 2. ... 1. 2. 0.],True,"[3.85669435e-39 3.48489216e-38 2.09596259e-37 ... 8.57142857e-02
 4.28571429e-01 0.00000000e+00]"
10,0.55,2.401055097579956,72,[3. 2. 2. ... 1. 2. 0.],True,"[5.99802100e-35 2.82544616e-34 8.84441115e-34 ... 9.98472035e-02
 4.44773907e-01 0.00000000e+00]"
11,0.6000000000000001,2.7399353981018066,83,[3. 2. 2. ... 1. 2. 0.],True,"[1.28025804e-31 4.22082958e-31 9.74240185e-31 ... 1.15740741e-01
 4.62962963e-01 0.00000000e+00]"
12,0.6500000000000001,3.2893054485321045,99,[3. 2. 2. ... 1. 2. 0.],True,"[1.10389125e-28 2.92624343e-28 5.63143718e-28 ... 1.33728805e-01
 4.83481064e-01 0.00000000e+00]"
13,0.7000000000000001,3.8963749408721924,117,[3. 2. 2. ... 1. 2. 0.],True,"[6.56357910e-26 1.50313742e-25 2.53040245e-25 ... 1.54230317e-01
 5.06756757e-01 0.00000000e+00]"
14,0.7500000000000001,4.704468250274658,144,[3. 2. 2. ... 1. 2. 0.],True,"[3.76553527e-23 7.53203163e-23 1.11406631e-22 ... 1.77777778e-01
 5.33333333e-01 0.00000000e+00]"
15,0.8,6.0641560554504395,183,[3. 2. 2. ... 1. 2. 0.],True,"[2.46382087e-20 4.31170808e-20 5.58598749e-20 ... 2.05058100e-01
 5.63909774e-01 0.00000000e+00]"
16,0.8500000000000001,8.142412662506104,245,[3. 2. 2. ... 1. 2. 0.],True,"[2.24655400e-17 3.43590649e-17 3.90123027e-17 ... 2.36972330e-01
 5.99400599e-01 0.00000000e+00]"
17,0.9000000000000001,11.735419273376465,362,[3. 2. 2. ... 1. 2. 0.],True,"[4.20329857e-14 5.60439809e-14 5.66088357e-14 ... 2.74725275e-01
 6.41025641e-01 0.00000000e+00]"
