,gammas,time,iters,policy,converge,v_map
0,0.05,0.49431586265563965,18,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.05 1.   0.  ]
1,0.1,0.6062462329864502,22,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.1 1.  0. ]
2,0.15000000000000002,0.7332983016967773,27,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.15 1.   0.  ]
3,0.2,0.8666515350341797,32,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.2 1.  0. ]
4,0.25,1.045037031173706,37,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.25 1.   0.  ]
5,0.3,1.1649360656738281,43,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.3 1.  0. ]
6,0.35000000000000003,1.2997949123382568,48,[0. 0. 0. ... 2. 2. 0.],True,[0.   0.   0.   ... 0.35 1.   0.  ]
7,0.4,1.4580483436584473,54,[0. 0. 0. ... 2. 2. 0.],True,[0.  0.  0.  ... 0.4 1.  0. ]
8,0.45,1.654050588607788,60,[0. 1. 1. ... 2. 2. 0.],True,"[0.00000000e+00 0.00000000e+00 3.46368439e-21 ... 4.50000000e-01
 1.00000000e+00 0.00000000e+00]"
9,0.5,1.7219398021697998,63,[2. 1. 1. ... 2. 2. 0.],True,"[4.33680869e-19 8.67361738e-19 1.73472348e-18 ... 5.00000000e-01
 1.00000000e+00 0.00000000e+00]"
10,0.55,1.7360191345214844,63,[2. 1. 1. ... 2. 2. 0.],True,"[1.45252648e-16 2.64095724e-16 4.80174044e-16 ... 5.50000000e-01
 1.00000000e+00 0.00000000e+00]"
11,0.6000000000000001,1.7246670722961426,63,[2. 1. 1. ... 2. 2. 0.],True,"[2.93242068e-14 4.88736780e-14 8.14561300e-14 ... 6.00000000e-01
 1.00000000e+00 0.00000000e+00]"
12,0.6500000000000001,1.759748935699463,63,[2. 1. 1. ... 2. 2. 0.],True,"[3.87003377e-12 5.95389811e-12 9.15984325e-12 ... 6.50000000e-01
 1.00000000e+00 0.00000000e+00]"
13,0.7000000000000001,1.6787364482879639,63,[2. 1. 1. ... 2. 2. 0.],True,"[3.55615303e-10 5.08021861e-10 7.25745515e-10 ... 7.00000000e-01
 1.00000000e+00 0.00000000e+00]"
14,0.7500000000000001,1.7529773712158203,63,[2. 1. 1. ... 2. 2. 0.],True,"[2.39186722e-08 3.18915629e-08 4.25220839e-08 ... 7.50000000e-01
 1.00000000e+00 0.00000000e+00]"
15,0.8,1.8022775650024414,63,[2. 1. 1. ... 2. 2. 0.],True,"[1.22599643e-06 1.53249554e-06 1.91561943e-06 ... 8.00000000e-01
 1.00000000e+00 0.00000000e+00]"
16,0.8500000000000001,1.756781816482544,63,[2. 1. 1. ... 2. 2. 0.],True,"[4.94942182e-05 5.82284920e-05 6.85041082e-05 ... 8.50000000e-01
 1.00000000e+00 0.00000000e+00]"
17,0.9000000000000001,1.7438576221466064,63,[2. 1. 1. ... 2. 2. 0.],True,[0.00161731 0.00179701 0.00199668 ... 0.9        1.         0.        ]
